dateTime,tempC,DO
09/16/2015 01:51,19.229113,6.925784
09/16/2015 01:53,19.220734,7.067168
09/16/2015 01:55,19.287763,7.357485
09/16/2015 01:57,19.354782,7.998587
09/16/2015 01:59,19.262629,7.62106
09/16/2015 02:01,19.220734,7.227808
09/16/2015 02:03,19.245871,6.973758
09/16/2015 02:05,19.25425,7.088614
09/16/2015 02:07,19.279385,7.273997
09/16/2015 02:09,19.296141,7.4733
09/16/2015 02:11,19.312897,7.589079
09/16/2015 02:13,19.346405,7.650952
09/16/2015 02:15,19.371534,7.683195
09/16/2015 02:17,19.388286,7.653091
09/16/2015 02:19,19.388286,7.750347
09/16/2015 02:21,19.396662,7.56146
09/16/2015 02:23,19.430164,7.778745
09/16/2015 02:25,19.430164,7.938045
09/16/2015 02:27,19.413413,7.737313
09/16/2015 02:29,19.438538,7.888989
09/16/2015 02:31,19.405038,7.642371
09/16/2015 02:33,19.363158,7.290002
09/16/2015 02:35,19.346405,7.251596
09/16/2015 02:37,19.329651,7.249621
09/16/2015 02:39,19.371534,7.330707
09/16/2015 02:41,19.37991,7.578419
09/16/2015 02:43,19.363158,7.595421
09/16/2015 02:45,19.371534,7.504588
09/16/2015 02:47,19.405038,7.805009
09/16/2015 02:49,19.421788,7.82041
09/16/2015 02:51,19.413413,7.783103
09/16/2015 02:53,19.430164,7.87787
09/16/2015 02:55,19.446913,8.02142
09/16/2015 02:57,19.455288,8.108099
09/16/2015 02:59,19.463662,8.147249
09/16/2015 03:01,19.472036,8.186625
09/16/2015 03:03,19.463662,8.230824
09/16/2015 03:05,19.48041,8.261327
09/16/2015 03:07,19.472036,8.263634
09/16/2015 03:09,19.48041,8.296601
09/16/2015 03:11,19.463662,8.223821
09/16/2015 03:13,19.472036,8.305996
09/16/2015 03:15,19.463662,8.24485
09/16/2015 03:17,19.455288,8.233124
09/16/2015 03:19,19.455288,8.19817
09/16/2015 03:21,19.446913,8.270561
09/16/2015 03:23,19.430164,8.226015
09/16/2015 03:25,19.430164,8.128695
09/16/2015 03:27,19.413413,8.119442
09/16/2015 03:29,19.405038,8.121714
09/16/2015 03:31,19.396662,8.089586
09/16/2015 03:33,19.405038,8.121714
09/16/2015 03:35,19.405038,8.191009
09/16/2015 03:37,19.413413,8.258686
09/16/2015 03:39,19.421788,8.312839
09/16/2015 03:41,19.430164,8.3318
09/16/2015 03:43,19.421788,8.355482
09/16/2015 03:45,19.430164,8.367415
09/16/2015 03:47,19.430164,8.410389
09/16/2015 03:49,19.430164,8.38887
09/16/2015 03:51,19.438538,8.422419
09/16/2015 03:53,19.438538,8.415226
09/16/2015 03:55,19.438538,8.451262
09/16/2015 03:57,19.438538,8.480221
09/16/2015 03:59,19.438538,8.487479
09/16/2015 04:01,19.438538,8.509298
09/16/2015 04:03,19.438538,8.502018
09/16/2015 04:05,19.421788,8.463217
09/16/2015 04:07,19.430164,8.417577
09/16/2015 04:09,19.413413,8.41509
09/16/2015 04:11,19.413413,8.343571
09/16/2015 04:13,19.413413,8.315163
09/16/2015 04:15,19.421788,8.419929
09/16/2015 04:17,19.421788,8.463217
09/16/2015 04:19,19.388286,8.414959
09/16/2015 04:21,19.396662,8.334011
09/16/2015 04:23,19.413413,8.41509
09/16/2015 04:25,19.421788,8.448759
09/16/2015 04:27,19.421788,8.55791
09/16/2015 04:29,19.421788,8.616802
09/16/2015 04:31,19.421788,8.602035
09/16/2015 04:33,19.430164,8.577543
09/16/2015 04:35,19.421788,8.602035
09/16/2015 04:37,19.421788,8.594662
09/16/2015 04:39,19.421788,8.609415
09/16/2015 04:41,19.421788,8.6316
